Crop_Type,Soil_Type,Farm_Size_Acres,Irrigation_Available,Soil_pH,Soil_Nitrogen,Soil_Organic_Matter,Temperature,Rainfall,Humidity,Compatible
summer paddy,Red and Yellow soils,79.83823177248526,0,5.178289826127368,198.87048560025247,1.4585495858556539,20.1721428955031,1861.6357254220984,57.92433182399832,0
Kulthi,Alluvial soils,33.93279558960007,1,4.862698602451796,27.781680058372032,2.5303169466499247,33.6469191337207,1400.435778843122,53.261910267568496,0
Arhar,Laterite soils,59.67320614065922,1,7.691356939114829,62.50009416906705,4.656399040733203,22.535805280207846,574.3080279398159,65.54726295459537,0
Gram,Alluvial soils,50.00026123679417,0,6.482151098976444,134.6550934041149,2.2680479132301716,25.672080725354608,1900.397114875201,34.97299367767471,0
summer paddy,Red and Yellow soils,94.62805798082711,0,6.054077761514732,69.89488864653119,1.448071195104331,14.366488012584846,1568.615247079987,25.95354424957857,0
Pea,Red and Yellow soils,75.00988896935692,1,8.302511707936532,75.76852810653317,2.017827631423144,16.986863321979012,1489.7787610779942,21.90785856781124,0
Arhar,Red and Yellow soils,73.32372051816132,0,5.984033548259163,179.60253856145061,2.8156757568582806,31.826657062626644,1572.511911160034,46.69921202390027,0
Arhar,Black soils,5.5889736739936735,1,5.1678909041887575,120.07724195756134,3.193632637698069,39.31126709559042,1386.4604435291171,86.26282788160098,0
Soybean,Laterite soils,55.41729723136542,0,5.596171567706385,29.54446073278937,2.445934458380761,31.139606668896455,239.8026507700566,67.93700172239488,0
Gram,Black soils,47.23215393627967,0,5.455866134354386,69.06389128919815,3.913412807931361,11.625951574662357,656.5128673508175,72.43911195285935,0
Maize,Alluvial soils,92.85638439401326,0,6.494965118253219,24.45109153488943,3.1300402194801804,14.286740596011875,1921.8293119273735,86.16145385917888,0
Rice,Black soils,26.476856830763694,0,5.666020495818296,115.6646873549576,3.492716603052593,23.3733562580275,719.4877041618382,49.54360749263152,0
Mustard,Laterite soils,27.713511875818337,0,6.564244688745447,42.92095731143804,4.3831351607505376,31.97718588678821,1588.9276720795747,53.20575486663145,0
Urd,Black soils,41.72327863926854,1,7.177173699787156,172.85187850477018,4.395598566226937,14.97797373847446,964.0711467364335,45.1678769496922,0
Rice,Red and Yellow soils,25.093601627231227,1,7.609195142853031,119.68966502673497,1.4157874053594415,32.52463409777544,1833.5498885322147,32.696086364159235,0
Wheat,Alluvial soils,13.7892078630662,0,7.340631125068923,21.28137196690799,3.305051351746924,26.675071718779627,1203.804298238067,73.64757608787734,0
Mustard,Alluvial soils,85.88406981842928,0,5.322362865825443,67.16637608862061,3.72488387468747,33.23629536281729,1337.3947943382652,83.46800550517118,0
Mustard,Red and Yellow soils,56.269375915987666,0,4.963598876971015,127.1041567748641,1.1563382896738301,26.7291284233881,631.3253015037385,76.97128971690195,0
Masoor,Red and Yellow soils,86.2749091767001,1,6.669800636405004,73.74468045682737,4.292464266765133,28.075695337745895,303.54213159761105,23.340411281342686,0
Millets,Red and Yellow soils,83.2823417749659,1,5.29564716483258,107.50356703285159,1.3121143790509908,17.462411980748684,1561.801328272929,40.94013205010326,0
Groundnut,Laterite soils,28.92219312417744,1,4.839734887086053,182.77883598971977,4.096757404736858,31.605692107834837,321.7579210952707,61.4459908682883,0
Kulthi,Black soils,55.22600698810312,0,6.608377371917669,76.50683439619289,1.2265959048055224,35.32043104756897,1499.2367443744224,42.90295642799253,0
Kulthi,Alluvial soils,9.238552571266975,1,5.807176740431181,73.81584386925971,3.838003415649505,36.13872423456466,1199.8871515312844,30.508321699678483,0
Pea,Black soils,91.60993651904508,0,7.524596047754015,165.75379984941276,1.166665904989987,10.883591578528339,1676.0426833223396,57.6854168220373,0
Mustard,Red and Yellow soils,41.022008791450155,0,5.756766522193672,70.56373935418628,2.204731898863109,28.73793402898568,570.3915610535264,56.50445208324858,0
Maize,Red and Yellow soils,39.97394220501312,0,8.414868548223255,24.812085386674532,1.1458226006243237,39.686150025507445,1174.7533194804341,69.69260094533394,0
Niger,Black soils,30.972781691177367,0,7.534092765042832,44.37954130512403,1.7182179334698338,27.60746969658668,1305.5084972311697,89.99070403520125,0
Pea,Alluvial soils,46.605710726359675,1,4.7307728859554485,190.27204765129719,4.930316498090681,15.138070225858591,333.7360279882671,65.37669024330701,0
summer paddy,Laterite soils,25.924179267999357,1,6.535490961425104,187.32563058976706,0.9845404523122265,36.32824272424467,1530.093230975513,42.18198870148699,0
Tiwra,Black soils,38.11037500688365,0,6.750482004856441,52.71429724784808,2.3290917188804965,17.929192445517025,900.2529833860625,86.94668100626326,0
summer paddy,Red and Yellow soils,80.19475780990331,0,7.281210842726391,115.1653558887503,3.546137033984853,11.350403786836278,432.04536088252087,59.99103333119543,0
Til,Red and Yellow soils,83.59129485493202,0,6.491187188135033,36.09993908037054,0.9256935667877861,22.915539034731644,896.7168799229157,65.20152790486088,0
Soybean,Laterite soils,31.1140652852231,0,6.433774393658293,138.1887494171918,0.9906484433879001,13.008180802465967,376.9426742899512,45.02926840286927,0
Moong,Black soils,47.432428624726,0,5.971754446710451,45.20810124186403,1.1446829263574356,13.457268605127005,1798.392571467439,51.62854682251685,0
Til,Laterite soils,87.50815785172517,0,5.585845535596695,19.460180355104754,3.4024387011486046,23.898674422673835,1022.1678212881563,49.304166083382434,0
Tiwra,Laterite soils,6.214659851140016,1,8.284800847906938,166.73039336967187,4.592016130906429,28.380502362277326,448.4505116968454,85.53510359098048,0
Rice,Alluvial soils,89.02535123758275,1,5.770386678537488,71.82607271748888,4.216952542858932,37.16176184976197,653.7722199099684,76.67130939630319,0
Kulthi,Alluvial soils,22.699250219580836,1,4.753685298321322,30.619256676418434,4.923748577108713,31.157588020375535,1504.3683860592419,26.349284522133026,0
summer paddy,Red and Yellow soils,68.1753851772232,0,5.169138957173649,168.4417506638228,3.101620480697272,35.278094548687605,1614.9587009152863,41.97064586772636,0
Mustard,Black soils,58.672617942075426,1,7.929106544165158,154.8555207337682,4.826647870781836,22.35353243619376,274.36951130089244,23.89819781506773,0
Gram,Alluvial soils,55.74113407073596,1,6.846533836493536,139.91410558207394,1.8722037434695342,19.557750854396367,307.784373302982,56.173154696823296,0
Kulthi,Red and Yellow soils,86.07666225052931,1,7.615122197508263,183.13725487046054,2.396770672307296,27.785208004546934,1850.9333082004225,39.5597003511117,0
Maize,Black soils,11.055642220821467,1,7.735126184558777,102.95295650542069,2.2821861558475836,30.86498702279797,795.7680102010064,25.138013577781173,0
Moong,Red and Yellow soils,35.35577450723797,1,7.7929457568442935,34.330734541491566,0.7131086612550693,27.047513345544132,547.9829614430625,74.0406370260545,0
Masoor,Alluvial soils,54.2870218881318,0,6.702454830978435,21.65581788007271,4.233673708432512,17.935638217193038,421.5037370658282,26.378975662064683,0
Soybean,Red and Yellow soils,81.31759654065795,0,5.2084823827964195,70.50379341233514,0.6112318491156589,21.09171668015211,1056.723460551407,39.00946949900606,0
Til,Black soils,22.427865257755478,0,5.092931008944567,26.497857726109082,3.7844431298825527,23.44914118167723,1587.8948499882904,74.01460600263695,0
Gram,Black soils,80.49005429605334,1,6.795937681500449,111.74679366594621,2.331791521948688,10.424557122859076,1138.011981598034,55.81003292792837,0
Soybean,Red and Yellow soils,40.56420976689964,0,5.966057414742705,12.754813386399997,0.5281147223460909,36.39516356269843,237.21262332299938,77.19811059785812,0
